epoch,train_loss,val_accuracy,val_auc,is_best,lr,timestamp
1,0.587054,0.915205,0.85553,1,1.00e-04,2026-04-09 15:58:20
2,0.509831,0.930556,0.958341,1,9.89e-05,2026-04-09 17:35:46
3,0.446253,0.681287,0.917666,0,9.57e-05,2026-04-09 19:12:39
4,0.399753,0.953216,0.958923,1,1.00e-04,2026-04-10 16:10:17
5,0.35686,0.931287,0.938699,0,8.95e-05,2026-04-10 17:50:25
6,0.306612,0.942982,0.971593,1,8.65e-05,2026-04-10 19:27:21
7,0.2775 , 0.9408 ,0.9672,0 ,1.00e-04,2026-04-10 21:04:18
8,0.2811 ,0.9532 ,0.9706 ,0 ,8.09e-05,2026-04-11 16:10:17
9,0.2524 ,0.9635 ,0.9784 ,1 ,7.83e-05 ,2026-04-11 17:50:2510,0.212762,0.967105,0.977717,0,7.40e-05,2026-04-12 15:55:49
11,0.204847,0.954678,0.980839,1,6.83e-05,2026-04-12 17:32:51
12,0.174668,0.951754,0.979568,0,6.14e-05,2026-04-12 19:10:26
13,0.173584,0.976608,0.987155,1,5.35e-05,2026-04-13 14:55:39
14,0.167412,0.974415,0.987312,1,4.52e-05,2026-04-13 16:33:29
15,0.156913,0.965643,0.98098,0,3.66e-05,2026-04-13 18:10:37
