epoch,train_loss,asv_auc,asv_eer,itw_auc,itw_eer,combined_eer,is_best,timestamp
1,0.228997,0.67395,0.392809,0.995697,0.030562,0.211686,2.856e-05,0,2026-03-28 21:34:29
2,0.160689,0.800122,0.270099,0.999229,0.007825,0.138962,2.454e-05,1,2026-03-28 21:49:26
3,0.146743,0.81942,0.272751,0.999775,0.00227,0.137511,1.873e-05,1,2026-03-28 22:04:22
4,0.135617,0.805712,0.28781,0.999219,0.007866,0.147838,1.227e-05,0,2026-03-28 22:19:17
5,0.13,0.824529,0.273878,0.999296,0.003365,0.138622,6.46e-06,0,2026-03-28 22:34:07
6,0.125749,0.835542,0.257098,0.999619,0.00763,0.132364,2.44e-06,1,2026-03-28 22:48:54
7,0.121745,0.844612,0.248806,0.999833,0.00581,0.127308,3e-05,1,2026-03-28 23:03:41
8,0.136769,0.744846,0.344189,0.999423,0.00493,0.17456,2.856e-05,0,2026-03-28 23:18:35
9,0.133163,0.698042,0.365746,0.999339,0.0027,0.184223,2.856e-05,0,2026-03-29 14:42:53
10,0.12967,0.737223,0.343657,0.998898,0.00763,0.175644,2.454e-05,0,2026-03-29 14:57:56
11,0.126339,0.766648,0.314071,0.999709,0.00493,0.159501,1.873e-05,0,2026-03-29 15:12:59
12,0.12227,0.746187,0.333576,0.99929,0.003815,0.168696,1.227e-05,0,2026-03-29 15:28:07
